,"GO:0005741,mitochondrial outer membrane","GO:0005740,mitochondrial envelope","GO:0005758,mitochondrial intermembrane space","GO:0098798,mitochondrial protein complex","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098799,outer mitochondrial membrane protein complex","GO:0031966,mitochondrial membrane","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0005654,nucleoplasm","GO:0030479, actin cortical patch","Cdc28, goldstandard_hits","GO:0005618, cell wall "," GO:0006974, cellular response to DNA damage stimulus","GO:0010494, cytoplasmic stress granule","GO:0005576, extracellular region","GO:0035556, intracellular signal transduction","inviable, yeast","Mitchell2012, parkermrnps","GO:0005743, mitochondrial inner membrane","GO:0005759, mitochondrial matrix","GO:0005739, mitochondrion","GO:0003729, mRNA binding","GO:0005643, nuclear pore","GO:0005730, nucleolus","GO:0000932, P body","GO:0004672, protein kinase activity","respiratory, growth  decreased rate","GO:0042254, ribosome biogenesis","RNA accumulation, increased","GO:0006364, rRNA processing","GO:0043565, sequence specific DNA binding","Wallace2015, heatagg"
DOC_MAPK_gen_1,NA,21.4880995547144,NA,-4.02266559537522,NA,-1.53166333339432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC_MAPK_HePTP_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.263380344156879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC_PP1_RVXF_1,NA,49.6293851318586,1.06934576864906,NA,NA,-0.474537999099901,1.36990871036656,NA,-9.12988418468402E-06,NA,NA,NA,NA,NA,NA,-0.086434027530297,NA,NA,NA,1.80161139727067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC_PP2B_PxIxI_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.74407960529442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.56417270450031,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOC_PRO,NA,-28.9514430654589,NA,NA,NA,NA,NA,NA,NA,NA,3.09962198032631,1.58424411837143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.41460132114609,NA,NA,NA,NA,NA,NA
ED_ratio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.07030722731305,NA,NA,-0.288101525575024,NA,NA,NA,NA,NA,NA,NA,1.69939282635819,NA,0.879327392710724,NA,NA,NA,NA,NA,NA,2.49268465807131
FCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.909094047574258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46233693557904,NA,NA,NA,3.10047318673784,NA,-0.13040572303799,NA,NA
hydrophobicity,NA,73.9097626782331,0.775262485594934,NA,NA,NA,3.53638183356226,2.47044652833129,NA,NA,NA,NA,1.91317985113636,NA,NA,0.348076438667948,NA,-3.79174862645258,-0.471931089547737,1.74126775499337,-0.000660193278909,3.06619905009546,-2.57227481302082,NA,-1.80120416070122,NA,NA,1.33165340136205,NA,-2.18104471458687,NA,NA,NA
INT_RGG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4268935543704,NA,NA,NA,3.61787606200673,NA,NA,NA,4.77687086838989,-2.01144028400091,6.62235872755018,6.18869798313733,NA,NA,NA,NA,NA,NA,3.15001332794991
Iso_point,NA,NA,NA,0.886582482846123,0.589227927345617,NA,NA,NA,1.18297749985967E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43388808538863,3.34920096729048,9.5082479288083,NA,NA,NA,NA,NA,6.63496796114516,NA,NA,NA,NA,NA
