,"GO:0005741,mitochondrial outer membrane","GO:0005740,mitochondrial envelope","GO:0005758,mitochondrial intermembrane space","GO:0098798,mitochondrial protein complex","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098799,outer mitochondrial membrane protein complex","GO:0031966,mitochondrial membrane","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0005654,nucleoplasm","GO:0030479, actin cortical patch","Cdc28, goldstandard_hits","GO:0005618, cell wall "," GO:0006974, cellular response to DNA damage stimulus","GO:0010494, cytoplasmic stress granule","GO:0005576, extracellular region","GO:0035556, intracellular signal transduction","inviable, yeast","Mitchell2012, parkermrnps","GO:0005743, mitochondrial inner membrane","GO:0005759, mitochondrial matrix","GO:0005739, mitochondrion","GO:0003729, mRNA binding","GO:0005643, nuclear pore","GO:0005730, nucleolus","GO:0000932, P body","GO:0004672, protein kinase activity","respiratory, growth  decreased rate","GO:0042254, ribosome biogenesis","RNA accumulation, increased","GO:0006364, rRNA processing","GO:0043565, sequence specific DNA binding","Wallace2015, heatagg"
wf_complexity,0.977366417079624,NA,NA,NA,0.173098763387151,3.02765781427542,3.70725667067709,NA,9.95250071522362E-06,NA,-1.4318346472622,NA,NA,NA,-0.071720430522089,NA,NA,NA,NA,1.67998865581633,NA,NA,2.00236025481169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_AA_A,-1.7472841870772,NA,NA,NA,-2.34696704464183,-0.818044441831298,NA,NA,NA,NA,NA,NA,-1.22347795754568,NA,NA,NA,NA,NA,3.32512026477614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_AA_G,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.14434764103703,NA,NA,NA,-2.02609182659191,NA,NA,NA,NA
var_AA_H,NA,-74.4991744000602,-2.8828844621746,-3.46427370297942,-1.12240291179396,-1.45354804593809,NA,NA,NA,NA,NA,NA,-2.75759550808196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19496059553596,NA
var_AA_N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.46679949918971,NA,NA,-0.379336070205367,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13374889328521,1.63399638856794,NA,-0.781630145905315,NA,NA,NA,NA
var_AA_P,-0.028728851536087,-121.317288931448,NA,NA,NA,NA,NA,NA,6.87684425268447E-05,NA,1.2484316828669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.62623532038026,NA,NA,NA,NA
var_AA_Q,NA,NA,1.71029806333694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60011036637928,NA,NA,NA,NA,NA,NA,NA,NA,1.83091258719369,NA,NA,NA,NA,NA,3.79750877742661,NA
var_AA_S,NA,NA,-1.87245826457373,-1.10267288104833,NA,-1.0836781844482,NA,NA,NA,NA,NA,NA,2.48070150653646,NA,NA,0.10442955867813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.64157675394288
var_AA_T,NA,-6.64369392913992,NA,-1.63284403993157,-2.55537833300131,-0.813985833562553,NA,-1.42423835262476,NA,NA,NA,NA,NA,NA,NA,NA,1.1941280702159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_acidic,-2.64488311835391,NA,NA,-0.63909016898679,NA,-1.04017543195697,-2.06775683548138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.63702441940288,-0.816359367355585,-0.672582663035063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_aliphatic,-1.31174600821142,NA,NA,NA,NA,-1.69251313518002,NA,NA,NA,NA,NA,NA,NA,-1.66316924564233,2.49641708305472,-0.349785374215997,NA,NA,NA,NA,NA,NA,2.46925410631355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_aromatic,3.78259214151346,NA,1.25819073567107,NA,4.19156837759884,1.43188621318399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.39388627077784,NA,NA,NA,NA,NA,-2.17942030288215,-2.22662855406165,NA,NA,NA,-3.3770426656008,NA,-1.12483348448227,NA,NA
var_basic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.36085387276247,NA,NA,-1.54121604993029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.19180941581909,NA,NA
var_chain_expanding,NA,-48.7734873188788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.06905126158007,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_CLV_Separin_Fungi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.21970607053503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_DEG_APCC_KENBOX_2,NA,NA,NA,-1.4883642806112,NA,-0.768488776958364,NA,-1.7497610648866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.94557289057728,NA,NA,NA,-2.2543846084898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_DEG_APCC_TPR_1,NA,NA,NA,NA,NA,NA,NA,NA,8.10407096328659E-06,NA,-3.21851968673879,NA,-2.35558643015989,NA,-0.064181339823383,NA,NA,-4.90911919074648,-1.29168310461815,NA,1.54868699439159,NA,-3.45253008790937,NA,-2.74271530464291,NA,NA,NA,NA,NA,NA,NA,-0.890504069229544
var_disorder_promoting,NA,-100.558242692033,NA,-1.41608598067895,NA,-1.38494258239391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84163721646418,NA,NA,-1.86653400882435,3.38371322160485,NA,NA,0.775446161747361,NA,NA,NA,NA,NA,NA,NA
var_DOC_CKS1_1,NA,57.7069804347621,1.44661334486525,NA,NA,NA,NA,NA,NA,-3.52815798776154,NA,-3.76616370680041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.31467300978623,NA,NA
var_DOC_MAPK_DCC_7,NA,-19.8867927792607,NA,2.6178148398372,NA,1.70807468507657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.45425856265488
var_DOC_MAPK_gen_1,NA,NA,1.09251938810557,NA,-3.02106960150371,NA,NA,NA,NA,-1.89028500764373,NA,NA,0.203231996196112,NA,NA,0.320968632195369,NA,NA,NA,NA,1.94332497504351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_DOC_MAPK_HePTP_8,NA,NA,NA,-3.21997550014862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66843057192156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_DOC_PP1_RVXF_1,NA,19.6650204352563,1.5447521063692,NA,0.465358802361168,NA,1.14331046871266,1.81459217565864,-5.40808336553247E-05,NA,NA,NA,NA,NA,NA,NA,-1.70963950521283,NA,NA,0.213345120430388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.50000449131794
var_DOC_PP2B_PxIxI_1,NA,NA,1.94800737471367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.643425456146055,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_DOC_PRO,NA,-74.4922064338697,NA,NA,NA,2.28839994425698,NA,3.07265817442421,-7.80739258256629E-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_ED_ratio,NA,-134.516860274826,-0.621325368404383,NA,-0.099391362684209,NA,NA,NA,NA,NA,-4.13735296297968,NA,NA,NA,3.55225314688284,NA,1.91859230183539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_FCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.803838057437342,-0.861793474039538,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66565774433528,NA
var_hydrophobicity,-1.82687775291619,NA,NA,-1.99429518481107,-0.263959121174496,NA,-3.14327803348234,NA,1.28309335322055E-05,NA,NA,NA,-3.88649119935717,NA,2.10209931857065,-0.036715689864304,NA,NA,NA,-2.08355205637585,NA,-4.3157468141207,NA,NA,NA,2.35789357344687,NA,NA,NA,NA,NA,NA,NA
var_INT_RGG,NA,NA,NA,NA,NA,0.277194530138337,NA,NA,-5.7019592770142E-05,NA,2.05019166651484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_Iso_point,NA,NA,-1.57494280767571,-2.09939566090763,-2.57290453270405,2.07933631166874,-2.46867502789909,NA,1.31760102571204E-05,NA,3.34448385696451,NA,NA,NA,NA,0.218177289220486,NA,NA,NA,-5.28503087259266,NA,NA,NA,NA,NA,NA,NA,-5.20756371213955,NA,NA,NA,NA,NA
var_kappa,NA,49.1164392504599,NA,NA,NA,2.18496036474154,NA,NA,-2.79720096174238E-05,-2.25944881558014,NA,NA,6.74356196561403,NA,NA,0.542797804608714,NA,NA,NA,NA,NA,NA,NA,NA,-2.26973750561031,NA,-4.94449945203037,NA,-1.69099446762185,NA,NA,3.78895305097797,-2.08511866827127
var_length,NA,81.5699509971198,NA,NA,-0.031132363156276,NA,NA,NA,4.15989081760822E-05,NA,NA,NA,NA,NA,NA,NA,0.039638845941717,-1.81037793212522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.06952916378649,NA,NA
var_LIG_AP_GAE_1,NA,NA,2.24903274168928,NA,NA,-0.428600052080529,NA,NA,NA,NA,3.20953962438079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_LIG_APCC_Cbox_2,NA,13.0607522705699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_LIG_CaM_IQ_9,3.17351649208756,-44.3482440726948,-2.08919462442336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_LIG_EH_1,1.4273932256872,NA,NA,NA,NA,-0.842020211522201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78122389093321,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_LIG_eIF4E_1,NA,3.63211175721733,NA,2.27554095753632,NA,NA,NA,NA,-1.5075809885419E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_LIG_GLEBS_BUB3_1,NA,NA,NA,NA,-1.93953277728848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_LIG_LIR_Gen_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.8311464873079,NA,NA,NA,NA,NA,NA,-1.77858365051275,NA,NA,NA,NA,-2.21741981439681,NA,NA,NA
var_LIG_PCNA_PIPBox_1,NA,NA,NA,NA,-1.17529003365924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092706687056391,0.928662090825694,NA,NA,NA,NA,NA,NA,NA,-2.80156923023453,NA,NA,NA,-4.57770810154576,NA,-2.29454013551104,NA,NA
var_LIG_SUMO_SIM_par_1,0.653052051626138,NA,1.64501380035303,NA,-1.05692884835952,NA,NA,NA,NA,NA,NA,NA,-1.85342823515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.836193231724229,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_MOD_CDK_SPxK_1,NA,NA,NA,NA,NA,NA,NA,1.22244105550462,5.4915447539464E-05,NA,NA,NA,NA,3.59334625956613,NA,NA,2.18153097146038,NA,-1.28329114807149,NA,NA,NA,-2.47481513715936,NA,NA,NA,2.1046679788459,NA,NA,-2.97372318002452,NA,NA,-1.46691028735075
var_MOD_CDK_STP,NA,NA,1.28483166627027,NA,2.46123540351368,0.745969573264803,NA,1.69073061666284,-7.53083789596831E-07,-0.818132333256474,NA,-3.60719410175799,NA,NA,NA,NA,NA,-3.41018839361298,NA,NA,NA,NA,NA,NA,-0.826533412473825,NA,NA,NA,-0.538170869857187,NA,NA,NA,NA
var_MOD_CKII,NA,NA,NA,-1.41382457600631,NA,NA,NA,NA,4.31199372358716E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_MOD_IME2,NA,NA,NA,NA,NA,-1.03657310900647,NA,NA,NA,NA,NA,NA,NA,NA,-1.90623709325932,NA,NA,NA,NA,2.50059273798981,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.42109592387029,NA,NA,NA
var_MOD_IPL1,-2.27879565693433,NA,NA,NA,NA,NA,NA,NA,NA,-1.69589330420983,NA,NA,NA,NA,NA,-0.27868293071221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.37523989361904
var_MOD_ISOMERASE,NA,NA,NA,NA,NA,0.026347777055549,NA,NA,NA,NA,NA,NA,1.17847886357959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.13526461838156,NA,NA,NA,NA,NA,NA,NA
var_MOD_LATS_1,NA,NA,-1.27469554734151,NA,NA,-0.280728351355889,NA,NA,-3.46524342918666E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.29748347670197
var_MOD_MEC1,NA,NA,NA,NA,NA,-0.873845466199198,NA,-2.08221771348947,NA,NA,NA,NA,NA,NA,-2.68003391697672,NA,NA,NA,-4.67827791238436,NA,NA,NA,-4.55799675329168,NA,NA,3.44650019779008,NA,NA,NA,NA,NA,NA,NA
var_MOD_PKA,NA,24.5816091697553,NA,NA,NA,NA,NA,NA,-1.94799204845899E-05,-1.36277857340264,NA,NA,NA,NA,-1.54685972837924,NA,NA,NA,-0.980917183929634,NA,NA,NA,-2.42864893398001,NA,NA,-2.29734519086773,NA,NA,NA,NA,-3.50072444334482,NA,-3.02603900949379
var_MOD_PRK1,NA,8.51397248060348,NA,NA,2.57349407740443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_MOD_SUMO_for_1,NA,24.9946253573079,1.63858696133961,NA,NA,NA,NA,NA,NA,-3.17915101348256,NA,-1.26883773021892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97514680275178,NA,NA,NA,NA,NA,5.82692947524487,NA
var_NCPR,NA,NA,-0.963347052371484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.48416499976877,NA,NA,NA,NA,NA,NA,0.377628644033011
var_net_charge,NA,NA,0.266001152575685,NA,NA,NA,NA,NA,NA,NA,-4.55172817365128,NA,NA,NA,NA,NA,NA,NA,-0.357773378298079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.919498820577893
var_net_charge_P,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.86315760833735,NA,NA,NA,NA,NA,NA,NA,-4.98872477093037,-1.07672793701338,NA,NA,NA,-6.62238883616376,-0.515323263195017,NA,NA,-1.83986174685802,NA,-5.85019945714293,NA,-4.15112402350931,NA,NA
var_omega,-1.22960518690126,NA,-0.897532241424251,NA,NA,-0.8760715587146,NA,NA,3.37982550277985E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.78691688263441,NA,NA,NA,NA,NA,NA
var_polar_fraction,NA,NA,-1.30305161120712,-0.314326769109936,NA,-0.423844388174886,NA,NA,NA,NA,NA,NA,NA,-1.07049769128492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_PPII_prop,NA,NA,1.77803776960689,NA,NA,NA,NA,NA,NA,-1.57789136974087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35661794257835,NA,NA,NA,NA,NA,0.484705136706953,NA
var_REP_D2,NA,NA,NA,NA,-2.0234923031025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.989651246395243,NA,NA,NA,NA,-0.824859277356632,NA,NA,NA,NA,NA,NA,NA
var_REP_E2,NA,NA,-1.56395929268892,NA,NA,1.31932595926802,NA,NA,NA,NA,NA,-0.806740384363887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_REP_FG2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18812164012127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81116920474358,NA,-3.72786093301575,NA,NA
var_REP_G2,NA,NA,NA,NA,NA,-0.78846982829833,NA,NA,-1.45359837971233E-05,NA,NA,NA,NA,NA,3.08462126486029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_REP_K2,NA,NA,NA,NA,NA,-1.70923578484555,NA,NA,-5.84107158589988E-06,NA,NA,NA,NA,NA,-8.2421384588222,0.087651283765836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_REP_KAP2,NA,NA,NA,4.85160345760017,NA,3.14164701187089,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323529631457233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_REP_N2,NA,NA,NA,NA,-0.290825128817985,1.34600020022508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.7999879555279,NA,NA,NA,NA,0.480854316204835,NA,NA,NA,NA,NA,NA
var_REP_P2,-2.60808467208838,173.479500392268,NA,-0.462553787107999,NA,-1.61417569119935,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.15610645740436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67773942541094,NA
var_REP_PTS2,-1.70879980452305,-42.9395149111272,NA,NA,NA,NA,NA,NA,NA,-1.53343605607342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.87286341608501,NA,NA,NA,NA,NA,-2.40921476396492,NA,NA
var_REP_Q2,2.03232933342681,NA,NA,NA,NA,2.2142505372242,NA,NA,NA,NA,NA,NA,-1.03602884999199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_REP_QN2,1.37244169737194,NA,NA,NA,-0.644058316119808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.41119537844103,NA,NA,0.190283778227443,NA
var_REP_R2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.7822901971556,NA,NA,NA,-4.79179109493138,-3.76871295779831,-3.08492849692885,NA,-2.66008946041373
var_REP_RG2,NA,16.1540163569102,-1.57093265402939,NA,NA,NA,NA,NA,-2.58394666804394E-05,NA,NA,NA,NA,NA,NA,-0.131769907404026,NA,NA,NA,NA,1.71335559047303,NA,NA,NA,NA,NA,NA,NA,-0.770557790465207,NA,NA,NA,NA
var_REP_S2,NA,12.5437757386537,NA,NA,NA,NA,NA,NA,NA,-1.06050513166284,NA,NA,NA,NA,NA,-0.066733029808282,NA,-0.88460319289404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_REP_SG2,NA,NA,NA,NA,NA,-1.3283082622639,NA,NA,NA,NA,NA,NA,1.70423349305765,NA,NA,0.274544779214793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_REP_SR2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.61966977919802,NA,NA,-0.794455331016755,NA,NA,2.52288782305484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_RK_ratio,-1.18656585288911,-99.3990340410465,NA,NA,NA,NA,NA,NA,-5.54827449176575E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.00396005458434,NA,-4.92583729905267
var_SCD,NA,180.836427817633,NA,NA,2.95248995368947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.13016033374869,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_TRG_ER_FFAT_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_TRG_ER_HDEL,1.82794044513482,NA,NA,NA,3.04994656375232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_TRG_FG,NA,NA,NA,NA,-0.967660722124894,NA,NA,NA,NA,NA,NA,NA,0.903443115024342,NA,NA,NA,NA,NA,NA,NA,-2.4352792619977,NA,NA,2.78240828824191,NA,NA,NA,NA,NA,NA,NA,NA,NA
var_TRG_Golgi_diPhe_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.127104785791456,NA,NA,NA,NA,NA,NA,NA,NA
var_TRG_MITOCHONDRIA,NA,148.624123074836,NA,NA,NA,NA,NA,-1.01992294394229,3.82067455544109E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.65633351545272,1.880370709919,1.51936795225718,NA,NA,NA,NA,NA,NA,3.84522886504163,NA,NA,NA,NA,NA
var_TRG_NLS_MonoExtN_4,NA,NA,NA,NA,2.40367165869488,1.10842777432682,NA,NA,NA,NA,NA,NA,NA,NA,0.332012320945783,NA,NA,NA,-2.6653878042531,-2.01353951219412,-2.7999816270414,NA,-2.78393136477417,NA,NA,NA,NA,-2.97674245768813,NA,NA,NA,3.28859511915397,NA
var_wf_complexity,NA,NA,NA,NA,-0.212940596100103,NA,NA,-1.08578378594357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
