idr_name,NAME,"GO:0005654,nucleoplasm","GO:0005730,nucleolus","GO:0005739,mitochondrion","GO:0005740,mitochondrial envelope","GO:0005741,mitochondrial outer membrane","GO:0005758,mitochondrial intermembrane space","GO:0031966,mitochondrial membrane","GO:0035556,intracellular signal transduction","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098798,mitochondrial protein complex","GO:0098799,outer mitochondrial membrane protein complex"
YAR014C_idr_7,BUD14,0,0,0,0,0,0,0,0,0,0,0,0,0
YAR014C_idr_9,BUD14,0,0,0,0,0,0,0,0,0,0,0,0,0
YAR018C_idr_3,KIN3,0,0,0,0,0,0,0,0,0,0,0,0,0
YAR019C_idr_2,CDC15,0,0,0,0,0,0,0,1,0,0,0,0,0
YAR019C_idr_3,CDC15,0,0,0,0,0,0,0,1,0,0,0,0,0
YAR019C_idr_6,CDC15,0,0,0,0,0,0,0,1,0,0,0,0,0
YAR042W_idr_13,SWH1,0,0,0,0,0,0,0,0,0,0,0,0,0
YAR042W_idr_14,SWH1,0,0,0,0,0,0,0,0,0,0,0,0,0
YAR042W_idr_15,SWH1,0,0,0,0,0,0,0,0,0,0,0,0,0
YAR042W_idr_5,SWH1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL002W_idr_1,HTB2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL004W_idr_27,UTP20,1,1,0,0,0,0,0,0,0,0,0,0,0
YBL004W_idr_32,UTP20,1,1,0,0,0,0,0,0,0,0,0,0,0
YBL004W_idr_38,UTP20,1,1,0,0,0,0,0,0,0,0,0,0,0
YBL005W_idr_2,PDR3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL005W_idr_7,PDR3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL007C_idr_13,SLA1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL007C_idr_4,SLA1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL007C_idr_5,SLA1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL007C_idr_7,SLA1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL008W_idr_1,HIR1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL008W_idr_4,HIR1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL009W_idr_2,ALK2,0,0,0,0,0,0,0,1,0,0,0,0,0
YBL010C_idr_1,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL011W_idr_2,SCT1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL011W_idr_3,SCT1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL014C_idr_10,RRN6,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL014C_idr_2,RRN6,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL014C_idr_5,RRN6,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL017C_idr_4,PEP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL019W_idr_5,APN2,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL020W_idr_1,RFT1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL021C_idr_1,HAP3,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL022C_idr_1,PIM1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL022C_idr_3,PIM1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL023C_idr_1,MCM2,1,0,0,0,0,0,0,0,0,0,0,0,0
YBL023C_idr_3,MCM2,1,0,0,0,0,0,0,0,0,0,0,0,0
YBL023C_idr_8,MCM2,1,0,0,0,0,0,0,0,0,0,0,0,0
YBL024W_idr_2,NCL1,1,1,0,0,0,0,0,0,0,0,0,0,0
YBL029W_idr_3,,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL031W_idr_8,SHE1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL031W_idr_9,SHE1,0,0,0,0,0,0,0,0,0,0,0,0,0
YBL032W_idr_1,HEK2,0,0,0,0,0,0,0,0,0,0,0,0,0
